iter	Passed	Remaining
346	21333	101628
347	21407	101622
348	21469	101563
349	21529	101496
350	21592	101440
351	21653	101376
352	21712	101305
353	21773	101239
354	21862	101306
355	21923	101243
356	21984	101177
357	22045	101111
358	22104	101040
359	22164	100973
360	22228	100920
361	22314	100971
362	22374	100898
363	22432	100822
364	22495	100767
365	22557	100706
366	22617	100637
367	22679	100577
368	22741	100518
369	22825	100554
370	22884	100481
371	22945	100417
372	23005	100349
373	23068	100293
374	23127	100218
375	23191	100166
376	23280	100225
377	23341	100156
378	23400	100086
379	23462	100025
380	23522	99956
381	23585	99899
382	23676	99962
383	23744	99925
384	23804	99857
385	23866	99794
386	23945	99802
387	24013	99767
388	24078	99716
389	24138	99649
390	24202	99597
391	24209	99308
392	24215	99017
393	24279	98966
394	24342	98908
395	24403	98844
396	24488	98880
397	24556	98843
398	24620	98790
399	24682	98728
